,rna, status,taxid,genes
0,URS000012D749_559292,'not found',559292,"['', 'SNR19']"
1,URS00006184A9_559292,'not found',559292,"['', 'SNR6']"
2,URS00001143F5_559292,'not found',559292,"['', 'SNR14']"
3,URS0000514318_559292,'not found',559292,['']
4,URS000053F313_559292,'not found',559292,['']
5,URS000023C730_559292,'not found',559292,"['', 'LSR1']"
6,URS00001CAAE9_559292,'not found',559292,"['', 'SCR1']"
7,URS00007E9EB6_559292,'not found',559292,"['', 'RPM1']"
8,URS00005F2C2D_559292,'not found',559292,"['', 'RDN18-1', 'RDN18-2', 'rrn']"
9,URS00001BF64E_559292,'not found',559292,"['', 'RDN58-1', 'RDN58-2']"
10,URS000055688D_559292,'not found',559292,"['', 'RDN5-1', 'RDN5-6']"
11,URS000061F377_559292,'not found',559292,"['', 'RDN25-1', 'RDN25-2']"
12,URS00007F9EA9_559292,'not found',559292,['21S_RRNA']
13,URS000060F99B_559292,'not found',559292,"['', '15S_RRNA']"
14,URS0000444F9B_559292,'not found',559292,"['', 'SNR17A']"
15,URS000006F31F_559292,'not found',559292,"['', 'NME1']"
16,URS0000348061_559292,'not found',559292,"['', 'TLC1']"
17,URS00004A7003_9606,'not found',9606,"['', 'TERC']"
18,URS000075C8FA_9606,'not found',9606,"['', 'RMRP']"
19,URS00000F9D45_9606,'not found',9606,"['', 'RNA5S1', 'RNA5S10', 'RNA5S11', 'RNA5S12', 'RNA5S13', 'RNA5S14', 'RNA5S15', 'RNA5S16', 'RNA5S17', 'RNA5S2', 'RNA5S3', 'RNA5S4', 'RNA5S5', 'RNA5S6', 'RNA5S7', 'RNA5S8']"
20,URS000075D341_9606,'not found',9606,"['', 'ENSG00000277739', 'LOC109864276', 'RNA45SN1', 'RNA45SN2', 'RNA45SN3', 'RNA5-8S5', 'RNA5-8SN1', 'RNA5-8SN2', 'RNA5-8SN3', 'RNA5-8SN4', 'RNA5-8SP10']"
21,URS0000ABD82A_9606,'not found',9606,"['', 'RNA28SN4']"
22,URS000044DFF6_9606,'not found',9606,"['', '12S rRNA', 'MT-RNR1', 'rnr1', 'RNR1']"
23,URS000047A7F4_9606,'not found',9606,"['', 'MT-RNR2', 'RNR2']"
24,URS0000704D22_9606,'not found',9606,"['', 'LOC109864275', 'RNA18SN2', 'RNA18SN2-001', 'RNA18SN3', 'RNA18SN4']"
