go_term_qid,go_props_qid,id,go_termLabel
Q1057,P682,GO:0008152,metabolism
Q14330812,P682,GO:0030900,forebrain development
Q14330834,P682,GO:0032496,response to lipopolysaccharide
Q14330839,P682,GO:0046902,regulation of mitochondrial membrane permeability
Q14330957,P682,GO:0000904,cell morphogenesis involved in differentiation
Q14330959,P682,GO:0001764,neuron migration
Q14330967,P682,GO:0007417,central nervous system development
Q14330969,P682,GO:0007420,brain development
Q14330970,P682,GO:0008306,associative learning
Q14330978,P682,GO:0010001,glial cell differentiation
Q14330979,P682,GO:0010976,positive regulation of neuron projection development
Q14330982,P682,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling
Q14330983,P682,GO:0016358,dendrite development
Q14330986,P682,GO:0018108,peptidyl-tyrosine phosphorylation
Q14330991,P682,GO:0021511,spinal cord patterning
Q14330996,P682,GO:0021517,ventral spinal cord development
Q14330998,P682,GO:0021766,hippocampus development
Q14331007,P682,GO:0021800,cerebral cortex tangential migration
Q14331008,P682,GO:0032008,positive regulation of TOR signaling
Q14331016,P682,GO:0032793,positive regulation of CREB transcription factor activity
Q14331017,P682,GO:0038026,reelin-mediated signaling pathway
Q14331027,P682,GO:0045860,positive regulation of protein kinase activity
Q14331029,P682,GO:0048265,response to pain
Q14331037,P682,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation
Q14331040,P682,GO:0050795,regulation of behavior
Q14331055,P682,GO:0050804,modulation of chemical synaptic transmission
Q14331057,P682,GO:0051057,positive regulation of small GTPase mediated signal transduction
Q14331076,P682,GO:0051968,"positive regulation of synaptic transmission, glutamatergic"
Q14331078,P682,GO:0061003,positive regulation of dendritic spine morphogenesis
Q14331083,P682,GO:0061098,positive regulation of protein tyrosine kinase activity
Q14331089,P682,GO:0090129,positive regulation of synapse maturation
Q14331103,P682,GO:0097114,NMDA glutamate receptor clustering
Q14331107,P682,GO:0097119,postsynaptic density protein 95 clustering
Q14331109,P682,GO:0097120,receptor localization to synapse
Q14331117,P682,GO:1900273,positive regulation of long-term synaptic potentiation
Q14331119,P682,GO:2000310,regulation of NMDA receptor activity
